text,labels
Other Moving short [MASK],3
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving long [MASK],15
Downward Horizontal Motion short [MASK],4
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving short [MASK],15
Other Moving long [MASK],15
Turning short [MASK],17
Downward Horizontal Motion short [MASK],13
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Other Moving short [MASK],1
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Stationary short [MASK],23
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Stationary short [MASK],23
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],23
Turning short [MASK],17
Stationary short [MASK],23
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Other Moving short [MASK],1
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
Turning short [MASK],17
